Date,Base Currency,Target Currency,Exchange Rate
2022-05-19,USD,AED,3.6731
2022-05-19,USD,AFN,90.380353
2022-05-19,USD,ALL,113.938574
2022-05-19,USD,AMD,460.573865
2022-05-19,USD,ANG,1.80333
2022-05-19,USD,AOA,414.47025
2022-05-19,USD,ARS,118.34278
2022-05-19,USD,AUD,1.420145
2022-05-19,USD,AWG,1.8
2022-05-19,USD,AZN,1.7
2022-05-19,USD,BAM,1.858783
2022-05-19,USD,BBD,2
2022-05-19,USD,BDT,87.599921
2022-05-19,USD,BGN,1.848748
2022-05-19,USD,BHD,0.376988
2022-05-19,USD,BIF,2038.046354
2022-05-19,USD,BMD,1
2022-05-19,USD,BND,1.385324
2022-05-19,USD,BOB,6.87898
2022-05-19,USD,BRL,4.9314
2022-05-19,USD,BSD,1
2022-05-19,USD,BTC,3.3049393e-05
2022-05-19,USD,BTN,77.701653
2022-05-19,USD,BWP,12.187376
2022-05-19,USD,BYN,3.376607
2022-05-19,USD,BZD,2.016831
2022-05-19,USD,CAD,1.28194
2022-05-19,USD,CDF,2003.16117
2022-05-19,USD,CHF,0.972321
2022-05-19,USD,CLF,0.030354
2022-05-19,USD,CLP,838.533894
2022-05-19,USD,CNH,6.733853
2022-05-19,USD,CNY,6.7131
2022-05-19,USD,COP,4053.40139
2022-05-19,USD,CRC,669.451484
2022-05-19,USD,CUC,1
2022-05-19,USD,CUP,25.75
2022-05-19,USD,CVE,104.55
2022-05-19,USD,CZK,23.345
2022-05-19,USD,DJF,178.113877
2022-05-19,USD,DKK,7.035062
2022-05-19,USD,DOP,55.223152
2022-05-19,USD,DZD,145.698118
2022-05-19,USD,EGP,18.2794
2022-05-19,USD,ERN,15.000001
2022-05-19,USD,ETB,51.763726
2022-05-19,USD,EUR,0.945222
2022-05-19,USD,FJD,2.16875
2022-05-19,USD,FKP,0.80237
2022-05-19,USD,GBP,0.80237
2022-05-19,USD,GEL,2.905
2022-05-19,USD,GGP,0.80237
2022-05-19,USD,GHS,7.747775
2022-05-19,USD,GIP,0.80237
2022-05-19,USD,GMD,54.15
2022-05-19,USD,GNF,8836.655321
2022-05-19,USD,GTQ,7.677482
2022-05-19,USD,GYD,209.338273
2022-05-19,USD,HKD,7.84795
2022-05-19,USD,HNL,24.491892
2022-05-19,USD,HRK,7.1259
2022-05-19,USD,HTG,112.065926
2022-05-19,USD,HUF,363.527
2022-05-19,USD,IDR,14637.5
2022-05-19,USD,ILS,3.378865
2022-05-19,USD,IMP,0.80237
