day,MarketDemand(MW),OntarioDemand(MW),NuclearSupply(MW),GasSupply(MW),HydroSupply(MW),WindSupply(MW),SolarSupply(MW),BiofuelSupply(MW),TotalSupply(MW),HOEP($/MWh)
2002-05-01,395721,395175,,,,,,,,28.3879166666667
2002-05-02,409942,409141,,,,,,,,30.0908333333333
2002-05-03,397355,396259,,,,,,,,31.6595833333333
2002-05-04,356080,354419,,,,,,,,26.5525
2002-05-05,342939,338993,,,,,,,,24.8554166666667
2002-05-06,397223,391787,,,,,,,,29.6616666666667
2002-05-07,395019,391354,,,,,,,,27.8133333333333
2002-05-08,401476,392271,,,,,,,,28.12375
2002-05-09,410189,399143,,,,,,,,39.2554166666667
2002-05-10,391012,388530,,,,,,,,29.635
2002-05-11,356225,353829,,,,,,,,28.2204166666667
2002-05-12,355252,352856,,,,,,,,28.4445833333333
2002-05-13,406557,404618,,,,,,,,41.335
2002-05-14,408298,405058,,,,,,,,32.2091666666667
2002-05-15,394897,392778,,,,,,,,28.39125
2002-05-16,400980,397283,,,,,,,,25.5516666666667
2002-05-17,386954,382679,,,,,,,,25.5145833333333
2002-05-18,356565,352801,,,,,,,,25.4345833333333
2002-05-19,352717,344377,,,,,,,,22.1475
2002-05-20,355638,346390,,,,,,,,23.0295833333333
2002-05-21,399115,392737,,,,,,,,26.7095833333333
2002-05-22,393517,390501,,,,,,,,23.7441666666667
2002-05-23,394095,390581,,,,,,,,25.9766666666667
2002-05-24,387811,385700,,,,,,,,24.9325
2002-05-25,355128,353332,,,,,,,,26.3833333333333
2002-05-26,341307,338941,,,,,,,,28.7808333333333
2002-05-27,391917,390831,,,,,,,,30.4154166666667
2002-05-28,400449,399661,,,,,,,,29.5854166666667
2002-05-29,411785,407275,,,,,,,,37.2341666666667
2002-05-30,427424,421806,,,,,,,,41.9579166666667
2002-05-31,414946,413795,,,,,,,,32.9216666666667
2002-06-01,370736,370440,,,,,,,,26.4683333333333
2002-06-02,344134,342383,,,,,,,,26.69125
2002-06-03,400566,383283,,,,,,,,28.8258333333333
2002-06-04,404198,389810,,,,,,,,31.09375
2002-06-05,410819,398662,,,,,,,,35.4170833333333
2002-06-06,400668,391495,,,,,,,,30.7120833333333
2002-06-07,397924,389493,,,,,,,,30.2770833333333
2002-06-08,363359,363335,,,,,,,,31.9329166666667
2002-06-09,369860,369836,,,,,,,,31.1108333333333
2002-06-10,419334,416774,,,,,,,,33.1245833333333
2002-06-11,448192,445651,,,,,,,,76.1516666666667
2002-06-12,431666,420570,,,,,,,,32.5441666666667
2002-06-13,416580,406711,,,,,,,,29.2220833333333
2002-06-14,407920,399896,,,,,,,,30.1683333333333
2002-06-15,360724,356806,,,,,,,,33.0545833333333
2002-06-16,345168,337391,,,,,,,,23.68375
2002-06-17,397444,387293,,,,,,,,30.4091666666667
2002-06-18,401744,395852,,,,,,,,27.4579166666667
2002-06-19,417767,407118,,,,,,,,31.2966666666667
2002-06-20,440295,436047,,,,,,,,34.6245833333333
2002-06-21,449879,448463,,,,,,,,36.1870833333333
2002-06-22,405305,396970,,,,,,,,28.8958333333333
2002-06-23,428904,418308,,,,,,,,33.79875
2002-06-24,456208,444788,,,,,,,,31.6020833333333
2002-06-25,473371,463547,,,,,,,,47.7754166666667
2002-06-26,492389,482317,,,,,,,,58.3283333333333
2002-06-27,474515,463329,,,,,,,,46.6666666666667
2002-06-28,458180,442783,,,,,,,,44.0645833333333
2002-06-29,408023,404322,,,,,,,,36.13375
2002-06-30,419282,411565,,,,,,,,36.295
2002-07-01,465116,444207,,,,,,,,52.0483333333333
2002-07-02,521805,518527,,,,,,,,83.9808333333333
2002-07-03,532377,527421,,,,,,,,76.6695833333333
2002-07-04,506005,504909,,,,,,,,63.8258333333333
2002-07-05,424662,418095,,,,,,,,35.6008333333333
2002-07-06,389944,385726,,,,,,,,36.8833333333333
2002-07-07,394020,389729,,,,,,,,36.33625
2002-07-08,473215,471975,,,,,,,,59.4933333333333
2002-07-09,466435,465403,,,,,,,,39.6891666666667
2002-07-10,423634,419184,,,,,,,,34.2070833333333
2002-07-11,412444,409757,,,,,,,,33.53125
2002-07-12,423443,418325,,,,,,,,40.3879166666667
2002-07-13,400866,399724,,,,,,,,33.9125
2002-07-14,417410,413689,,,,,,,,44.2283333333333
2002-07-15,486331,484416,,,,,,,,55.0420833333333
2002-07-16,488394,487602,,,,,,,,66.9708333333333
2002-07-17,517456,516156,,,,,,,,70.8125
2002-07-18,485482,485364,,,,,,,,61.7795833333333
2002-07-19,457049,456227,,,,,,,,59.4675
2002-07-20,417426,415969,,,,,,,,60.8029166666667
2002-07-21,424532,423622,,,,,,,,60.9154166666667
2002-07-22,494630,494154,,,,,,,,79.4275
2002-07-23,447678,447506,,,,,,,,59.5954166666667
2002-07-24,415471,414175,,,,,,,,47.6025
2002-07-25,418806,416910,,,,,,,,47.5241666666667
2002-07-26,436868,436302,,,,,,,,61.465
2002-07-27,427983,427250,,,,,,,,56.6770833333333
2002-07-28,442996,442709,,,,,,,,71.9441666666667
2002-07-29,507157,506099,,,,,,,,93.8333333333333
2002-07-30,498711,496490,,,,,,,,99.9116666666667
2002-07-31,495916,495721,,,,,,,,76.45
2002-08-01,524883,523461,,,,,,,,96.3920833333333
2002-08-02,499013,498541,,,,,,,,73.9979166666667
2002-08-03,421210,420538,,,,,,,,53.3975
2002-08-04,407217,407145,,,,,,,,53.1495833333334
2002-08-05,421741,416361,,,,,,,,63.9595833333333
2002-08-06,414606,410625,,,,,,,,39.94875
2002-08-07,415643,414121,,,,,,,,38.9370833333333
2002-08-08,422145,420275,,,,,,,,40.6104166666667
2002-08-09,432474,431758,,,,,,,,46.1770833333333
2002-08-10,418307,417465,,,,,,,,49.8083333333333
2002-08-11,436538,434933,,,,,,,,62.6954166666667
2002-08-12,516669,516422,,,,,,,,103.40125
2002-08-13,525507,525253,,,,,,,,191.444166666667
2002-08-14,508768,508246,,,,,,,,119.789166666667
2002-08-15,507701,507463,,,,,,,,107.317916666667
2002-08-16,500904,500732,,,,,,,,83.91625
2002-08-17,451345,451273,,,,,,,,66.3108333333333
2002-08-18,428610,428258,,,,,,,,54.9379166666667
2002-08-19,429404,427052,,,,,,,,46.46875
2002-08-20,432421,429757,,,,,,,,54.0016666666667
2002-08-21,443236,442712,,,,,,,,57.6183333333333
2002-08-22,449697,448673,,,,,,,,48.9629166666667
2002-08-23,425817,425238,,,,,,,,44.18
2002-08-24,391426,391338,,,,,,,,45.5691666666667
2002-08-25,386419,384697,,,,,,,,38.75
2002-08-26,449604,448782,,,,,,,,60.7604166666667
2002-08-27,437164,434823,,,,,,,,52.8179166666667
2002-08-28,426750,425082,,,,,,,,53.50875
2002-08-29,432383,431247,,,,,,,,49.17125
2002-08-30,429062,428039,,,,,,,,48.46
2002-08-31,398640,398568,,,,,,,,43.22625
2002-09-01,387721,385625,,,,,,,,41.8929166666667
2002-09-02,390131,389709,,,,,,,,48.0395833333333
2002-09-03,467830,467758,,,,,,,,186.193333333333
2002-09-04,445005,444463,,,,,,,,78.6033333333333
2002-09-05,434995,431717,,,,,,,,52.4179166666667
2002-09-06,430069,427058,,,,,,,,51.9229166666667
2002-09-07,425151,421355,,,,,,,,59.1258333333333
2002-09-08,437088,434833,,,,,,,,62.2054166666667
2002-09-09,508588,505189,,,,,,,,189.326666666667
2002-09-10,503597,502040,,,,,,,,185.635833333333
2002-09-11,424812,420929,,,,,,,,50.9754166666667
2002-09-12,420079,413904,,,,,,,,41.3308333333333
2002-09-13,427517,424811,,,,,,,,49.5425
2002-09-14,401519,400114,,,,,,,,59.7429166666667
2002-09-15,386145,383059,,,,,,,,48.4341666666667
2002-09-16,419243,417228,,,,,,,,117.7125
2002-09-17,422199,419647,,,,,,,,64.18625
2002-09-18,429607,427867,,,,,,,,64.5829166666667
2002-09-19,457874,456565,,,,,,,,128.76125
2002-09-20,472788,471131,,,,,,,,136.323333333333
2002-09-21,417443,413770,,,,,,,,65.0270833333333
2002-09-22,388018,379329,,,,,,,,52.5141666666667
