Date,Hour,Nuclear,Gas,Hydro,Wind,Solar,Biofuel,Total Output
1/1/2015,1,11564,957,3173,2504,0.0,20,18218
1/1/2015,2,11560,946,3100,2262,0.0,20,17888
1/1/2015,3,11560,947,3051,2025,0.0,20,17603
1/1/2015,4,11444,949,3086,1950,0.0,22,17451
1/1/2015,5,11174,946,3131,2015,0.0,21,17287
1/1/2015,6,10974,947,3103,2332,0.0,20,17376
1/1/2015,7,10976,951,3315,2368,0.0,20,17630
1/1/2015,8,11199,952,3567,2258,0.0,20,17996
1/1/2015,9,11271,952,3637,2183,0.0,20,18063
1/1/2015,10,11270,953,3932,2605,0.0,20,18780
1/1/2015,11,11416,951,3767,2704,0.0,20,18858
1/1/2015,12,11570,954,3719,2444,0.0,20,18707
1/1/2015,13,11562,952,3826,2741,0.0,20,19101
1/1/2015,14,11560,951,3974,2733,0.0,20,19238
1/1/2015,15,11565,970,3947,2586,0.0,20,19088
1/1/2015,16,11564,1007,4202,2266,0.0,20,19059
1/1/2015,17,11564,1093,4296,2634,0.0,19,19606
1/1/2015,18,11564,1083,5056,2760,0.0,18,20481
1/1/2015,19,11569,1083,5143,2692,0.0,18,20505
1/1/2015,20,11567,1084,4774,2737,0.0,18,20180
1/1/2015,21,11567,1084,4566,2651,0.0,18,19886
1/1/2015,22,11562,1083,4035,2631,0.0,18,19329
1/1/2015,23,11561,941,3539,2649,0.0,18,18708
1/1/2015,24,11558,903,3276,2079,0.0,18,17834
1/2/2015,1,11566,900,3060,1955,0.0,18,17499
1/2/2015,2,11566,900,3086,1854,0.0,18,17424
1/2/2015,3,11566,904,2959,1838,0.0,19,17286
1/2/2015,4,11560,905,2970,1590,0.0,19,17044
1/2/2015,5,11561,955,2931,1273,0.0,19,16739
1/2/2015,6,11561,990,3069,1196,0.0,32,16848
1/2/2015,7,11561,1079,3512,1186,0.0,40,17378
1/2/2015,8,11560,1265,4412,1106,0.0,45,18388
1/2/2015,9,11566,1491,4686,921,0.0,54,18718
1/2/2015,10,11564,1566,5116,870,0.0,53,19169
1/2/2015,11,11567,1626,4934,940,0.0,56,19123
1/2/2015,12,11568,1704,4729,1197,0.0,56,19254
1/2/2015,13,11567,1857,4462,1337,0.0,55,19278
1/2/2015,14,11567,2029,4346,1227,0.0,55,19224
1/2/2015,15,11566,2167,4490,849,0.0,54,19126
1/2/2015,16,11570,2168,5212,627,0.0,52,19629
1/2/2015,17,11570,2238,5519,531,0.0,51,19909
1/2/2015,18,11570,3162,6225,324,0.0,50,21331
1/2/2015,19,11570,3031,6064,262,0.0,45,20972
1/2/2015,20,11574,2798,6009,274,0.0,35,20690
1/2/2015,21,11564,2493,5970,203,0.0,36,20266
1/2/2015,22,11559,2165,5475,206,0.0,35,19440
1/2/2015,23,11560,1457,5401,168,0.0,34,18620
1/2/2015,24,11567,1212,5117,185,0.0,22,18103
1/3/2015,1,11575,953,4681,306,0.0,15,17530
1/3/2015,2,11576,907,4268,533,0.0,3,17287
1/3/2015,3,11577,913,3720,932,0.0,3,17145
1/3/2015,4,11577,912,3198,1128,0.0,3,16818
1/3/2015,5,11578,913,2965,1410,0.0,3,16869
1/3/2015,6,11579,930,3110,1423,0.0,3,17045
1/3/2015,7,11584,953,3537,1400,0.0,3,17477
1/3/2015,8,11580,952,4438,1139,0.0,3,18112
1/3/2015,9,11568,922,4698,1130,0.0,3,18321
1/3/2015,10,11561,937,5118,1247,0.0,3,18866
1/3/2015,11,11547,1086,5774,1174,0.0,3,19584
1/3/2015,12,11550,1539,5821,1065,0.0,3,19978
1/3/2015,13,11549,1905,5797,1113,0.0,3,20367
1/3/2015,14,11553,2113,4940,1361,0.0,3,19970
1/3/2015,15,11517,2103,4912,1403,0.0,3,19938
1/3/2015,16,11551,2195,4937,1368,0.0,3,20054
1/3/2015,17,11560,2246,5292,1105,0.0,3,20206
1/3/2015,18,11546,2863,5891,881,0.0,3,21184
1/3/2015,19,11555,2731,5898,607,0.0,2,20793
1/3/2015,20,11552,2102,5785,401,0.0,3,19843
1/3/2015,21,11553,1952,5765,344,0.0,3,19617
1/3/2015,22,11549,1691,5369,346,0.0,3,18958
1/3/2015,23,11547,1172,5023,314,0.0,3,18059
1/3/2015,24,11561,952,4752,264,0.0,3,17532
1/4/2015,1,11558,950,4541,364,0.0,3,17416
1/4/2015,2,11564,950,4016,441,0.0,3,16974
1/4/2015,3,11569,952,3778,348,0.0,3,16650
1/4/2015,4,11572,948,3458,283,0.0,3,16264
1/4/2015,5,11567,947,3403,273,0.0,2,16192
1/4/2015,6,11568,946,3352,267,0.0,6,16139
